lexeme_russian	number_syllables	onset	coda
V	1	V	V
V	1	V	V
V	1	V	V
V	1	V	V
V-V-R-V	3	V	V
V-V-R-V-N-V-O-O-V-N-V	6	V	V
V-V-O-V-N	3	V	N
V-O-V	2	V	V
V-O-V	2	V	V
V-O-V-O-V-N	3	V	N
V-O-V-O-V-R	3	V	R
V-O-V-O-V-R-N-V-J	4	V	J
V-O-V-O-V-R-V-O-V-R-O-V-O-V-L	7	V	L
V-O-V-O	2	V	O
V-O-V-O-V	3	V	V
V-O-V-O-V-N	3	V	N
V-O-V-O-V-N-V-O	4	V	O
V-O-V-O-V-N-O-V	4	V	V
V-O-V-O-V-N-O-O-V-J	4	V	J
V-O-V-J	2	V	J
V-O-V-J	2	V	J
V-O-V-O	2	V	O
V-O-V-O-V	3	V	V
V-O-V-O-V	3	V	V
V-O-V-O-V-N	3	V	N
V-O-V-O-V-N-V-O	4	V	O
V-O-V-O-V-N-O-O-V-J	4	V	J
V-O-V-O-V-N	3	V	N
V-O-O-V-O	2	V	O
V-O-O-V-O-V-O-V	4	V	V
V-O-O-V-O-O-O-V-J	3	V	J
V-O-O-V-O-O-O-O-V	3	V	V
V-O-O-R-V-O-V-V-O-V-R-V	6	V	V
V-O-O-R-V-O-V-V-O-V-R-N-V-J	6	V	J
V-O-O-R-V-O-V-V-O-V-J-V	6	V	V
V-O-O-V-R	2	V	R
V-O-O-V-O-V-O-V-J-V	5	V	V
V-O-O-V-N-V-N	3	V	N
V-O-O-V-N-V-N-V-L-N-V-J	5	V	J
V-O-O-V-O-O-V-R	3	V	R
V-O-O-V-O-O-V-R-N-V-J	4	V	J
V-O-O-V-O-O-V-J-V	4	V	V
V-O-O-V-L-L-V	3	V	V
V-O-V-L-V-O	3	V	O
V-O-V-R-O-V-N	3	V	N
V-O-V-R-O-V-J-V	4	V	V
V-O-V-R-R-V-O-V-V-N-N-V-J	6	V	J
V-O-V-R-R-V-O-V-J-V	5	V	V
V-O-V-O-O-V-O-V-O	4	V	O
V-O-O-V-O	2	V	O
V-O-O-V-O-N-V-J	3	V	J
V-O-V-O-O-V-N	3	V	N
V-O-V-J-V-O-V-N	4	V	N
V-O-V-J-V-O-V-N-V-O-V-J	6	V	J
V-O-V-N-O-O	2	V	N-O-O
V-O-V-N-O-O-V-J	3	V	J
V-O-V-O-O-V-L-N-V-J	4	V	J
V-O-V-O-O-V-N-V-O	4	V	O
V-O-V-O-O-V-N-O-O-V-J	4	V	J
V-O-V-O-V-R-V	4	V	V
V-O-V-O-V-R-V-J-V-N-O	5	V	N-O
V-O-V-O-V-R-V-J-V-N-O-O-V	6	V	V
V-O-V-O-V-R-V-J-V-N-O-O-O-V-J	6	V	J
V-O-L-V-O-O-V-R-V-O-V-N-V-J-V	7	V	V
V-O-L-V-O-O-V-R-V-O-V-O	5	V	O
V-O-L-V-O-O-V-R-V-O-O-V	5	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-V-O	3	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-V-O	3	V	O
V-O-L-V-O-V-V-N-N-V-J	5	V	J
V-O-L-V-O-V-J-V	4	V	V
V-O-V-L-V-O-V-V-N-V-O-N	6	V	O-N
V-O-V-L-V-O-V-V-N-V-O-O	6	V	O-O
V-O-V-L-V-O-V-V-N-V-O-O-O-O-V-J	7	V	J
V-O-V-L-V-O-V-J-V	5	V	V
V-O-V-N-V-N-V-N-O	4	V	N-O
V-O-V-N-V-N-V-N-O-N-V-J	5	V	J
V-O-V-N-V-N-O	3	V	N-O
V-O-V-N-V-N-O-O-V	4	V	V
V-O-V-N-V-N-O-N-V-J	4	V	J
V-O-V-N-V-N-O-O-O-V-J	4	V	J
V-O-V-N-V-R-V-O-V-N-V-J-V	7	V	V
V-O-V-N-V-R-V-O-V-O	5	V	O
V-O-V-N-V-R-V-O-V-O-O-V	6	V	V
V-O-V-R-O-V-O	3	V	O
V-O-V-R-O-V-O-N-V-J	4	V	J
V-O-V-R-O-V-R-V-O-V-O	5	V	O
V-O-V-R-V-O-V-N	4	V	N
V-O-V-R-V-O-V-N-N-V-J	5	V	J
V-O-V-R-V-O-V-N-O-O-V-J	5	V	J
V-O-V-R-O	2	V	R-O
V-O-V-R-O-V-R-V-J	4	V	J
V-O-V-R-O-V-O-N-V-O-O	4	V	O-O
V-O-V-R-O-V-O-N-V-J	4	V	J
V-O-V-R-O-V-R-V-O-V-O	5	V	O
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-V-O-N-V-J	4	V	J
V-O-R-V-O-V-V-N-N-V-J	5	V	J
V-O-R-V-O-V-J-V	4	V	V
V-O-R-V-O-V-O-V-O-R-V	5	V	V
V-O-R-V-N	2	V	N
V-O-R-V-N-O-V-O-V	4	V	V
V-O-R-V-N-O-V-O-O-O-V-J	4	V	J
V-O-R-V-V-O-V-R-O-V	5	V	V
V-O-R-V-O-V-N	3	V	N
V-O-R-V-O-V	3	V	V
V-O-R-V-O	2	V	O
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-V-O-V-O	4	V	O
V-O-R-V-O-V-O-N-V-J	4	V	J
V-O-R-V-O-V-O-V-O-O-V	5	V	V
V-O-R-V-O-V-O-V-O-V-J	5	V	J
V-O-R-V-O-V-O-V-N	4	V	N
V-O-R-V-O	2	V	O
V-O-R-V-O-N-V-J	3	V	J
V-O-R-V-O-V-O-V-J-V	5	V	V
V-O-O-V-N-O	2	V	N-O
V-O-O-V-N-O-V-V-O-N	4	V	O-N
V-O-O-V-N-O-V-V-O-O	4	V	O-O
V-O-O-V-N-O-V-V-O-O-O-O-V-J	5	V	J
V-O-O-V-L-V-O	3	V	O
V-O-O-V-L-V-O-V-O-N-V-J	5	V	J
V-O-O-V-L-V-O-V-O-V-O-V-J-V	7	V	V
V-O-O-V-L-V-O-V-O-V-R-V-O-V-N-V-J-V	9	V	V
V-O-O-V-L-V-O-V-O-V-R-V-O-V-O	7	V	O
V-O-O-V-L-V-O-V-O-N	4	V	O-N
V-O-O-V-L-V-O-V-O-O	4	V	O-O
V-O-O-V-L-V-O-V-O-O-O-O-V-J	5	V	J
V-O-O-V-L-V-O-N-V-O-O	4	V	O-O
V-O-O-V-L-V-O-N-V-J	4	V	J
V-O-O-V-L-V-O-V-J-V	5	V	V
V-O-O-V-R-O-V-N-O	3	V	N-O
V-O-O-V-R-O-V-N-O-N-V-J	4	V	J
V-O-O-V-R-O-V-R	3	V	R
V-O-O-V-R-O-V-R-V-O-V-O	5	V	O
V-O-O-V-R-O-O-V-V-N-N-V-J	5	V	J
V-O-O-V-R-O-O-V-J-V	4	V	V
V-O-O-O-V-N-V-N-O	3	V	N-O
V-O-O-O-R-V-O-V-R-V-O-V-N-V-J-V	7	V	V
V-O-O-O-R-V-O-V-R-V-O-V-O	5	V	O
V-O-O-O-R-V-O-V-R-V-O-V-O-O-V	6	V	V
V-O-O-O-R-V-O-O	2	V	O-O
V-O-O-O-R-V-O-O-N-V-O-O	3	V	O-O
V-O-O-O-R-V-O-O-N-V-J	3	V	J
V-O-O-O-R-V-O-O-V-V-N-V-O-N	5	V	O-N
V-O-O-O-R-V-O-O-V-V-N-V-O-O	5	V	O-O
V-O-O-O-R-V-O-O-V-V-N-V-O-O-O-O-V-J	6	V	J
V-O-O-O-R-V-O-O-V-J-V	4	V	V
V-O-O-V-R-O	2	V	R-O
V-O-O-V-R-O-N-V-O-O	3	V	O-O
V-O-O-V-R-O-N-V-J	3	V	J
V-O-O-O-V-O-O	2	V	O-O
V-O-O-O-V-O-O-V	3	V	V
V-O-V-L-V-J-V	4	V	V
V-O-O-V-O	2	V	O
V-O-O-V-O-V-O	3	V	O
V-O-O-V-O-V-J-V	4	V	V
V-O-O-V-O-O-V	3	V	V
V-O-O-V-O-O-O-V-J	3	V	J
V-O-O-V-O	2	V	O
V-O-O-O-R-V-O	2	V	O
V-O-J-V-R-V-O-V-J-V	5	V	V
V-O-V	2	V	V
V-O-V	2	V	V
V-O-V-J	2	V	J
V-O-V-L-V-O-O	3	V	O-O
V-O-V-L	2	V	L
V-O-V-N-O-V-R-O	3	V	R-O
V-O-V-N-O-V-R-O-V-O-N	4	V	O-N
V-O-V-N-O-V-R-O-V-O-O	4	V	O-O
V-O-V-N-O-V-R-O-V-O-O-O-O-V-J	5	V	J
V-O-V-N-O-V-R-O-N-V-J	4	V	J
V-O-V-N-O-V-L	3	V	L
V-O-V-N-O-V-L-N-V-J	4	V	J
V-O-V-N-O-V-N-V-R-V	5	V	V
V-O-V-N-L-V-O-V	4	V	V
V-O-V-N-O-V-R-O	3	V	R-O
V-O-V-N-O-V-O-O	3	V	O-O
V-O-V-N-O-V-O-O-N-V-J	4	V	J
V-O-V-N-O	2	V	N-O
V-O-V-N-O-V-R-V-O-V-N-V-J-V	7	V	V
V-O-V-N-O-V-R-V-O-V-O	5	V	O
V-O-V-N-O-V-O-V-J	4	V	J
V-O-V-N-O-V-N	3	V	N
V-O-V-N-O-O-V-N-V	4	V	V
V-O-V-N-O-V-O	3	V	O
V-O-V-N-O-V-O-N-V-J	4	V	J
V-O-V-N-O-V-R-V	4	V	V
V-O-V-N-O-V-R-V-O-N	4	V	O-N
